object_name,schema_name,object_type,status,created_timestamp
bz_google_analytics_txn,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:11
bz_pg_group_membrshp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:12
campgn_prospct_list,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:14
chptr_list_membrshp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:17
chptr_portal_list_typ_ref,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:18
cnst_addr_ncoa_log,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:20
cnst_cdi_smry_non_fr_prfr,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:27
cnst_cdi_smry_phss_prfr,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:29
cnst_cdi_smry_phss_prfr_stg,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:31
cnst_cdi_smry_vms_prfr,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:32
cnst_cdi_smry_vms_prfr_stg,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:34
cnst_cdi_vms_preferred_dmail,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:38
cnst_cdi_vms_preferred_email,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:40
cnst_scr_acct,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:41
cnvo_reactivation_list,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:43
dim_bio_donat_freq,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:44
dim_dm_src_treatmnt_xref,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:51
dim_edrtl_response_period,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:53
dim_email_segmnt,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:55
dim_odr,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:56
dim_online_channel,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:58
dim_phone_adtnl_reqst,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:05:59
dim_phone_call_dspstn,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:01
dim_phone_campgn_src_cd_xref,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:05
dim_region_rsmo,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:09
dim_src_2_intrctn_brdg,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:11
dm_campaign_hist,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:17
dm_campaign_pg_hist,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:19
dv_active_segmnt_snapsht,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:20
dv_arc_bio_smry,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:22
dv_arc_entrprs_smry,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:25
dv_arc_fr_smry,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:27
dv_arc_phss_smry,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:28
dv_arc_vms_smry,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:30
dv_channel_accessibility_1,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:33
dv_channel_accessibility_stg,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:34
dv_de_accessblty_lifestg,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:36
dv_de_scorcrd_campgns,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:39
dv_digtl_engmnt_scorcrd,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:40
email_src_cd,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:42
esri_blockgroup_demgrphc,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:44
esri_zip_cd_demgrphc,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:46
fact_interaction_bb,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:53
fact_phone_interaction,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:55
fact_response_aprm,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:57
fact_vol_applctn,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:06:59
fact_vs_surv_resp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:01
final_mobile_common_opt_out,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:02
fix_site_vol_recruit,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:04
global_suprs_cnst_email,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:08
global_suprs_domain,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:10
global_suprs_email,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:11
gms_arc_fr_smry_sustnr,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:16
gms_arc_fr_txn,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:17
gms_bzfc_adb_fact_donation,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:19
gms_bzfc_donation_rank,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:23
gms_bzfc_fact_ask_cntct_intrctn,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:25
gms_bzf_cnst_cnstcy,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:28
gms_bzf_cnst_cnstcy_curnt,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:29
gms_bz_pg_group_membrshp,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:31
gms_cnst_behvrl_segmnt,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:33
gms_cnst_cdi_smry_fr_pa_dm,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:34
gms_cnst_cdi_smry_fr_prfr_stg,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:37
gofundraise_donor,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:39
google_analytics_txn,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:40
lkp_positions_taxonomy_mktg_stg,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:42
mktg_snapsht_load_cntl,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:47
mobile_commons_active,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:50
name_gender,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:52
pbi_bio_demogrphcs,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:07:58
pbi_bzl_fact_show_prodctv_ind,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:08:00
pbi_cfremappend_cnst,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:08:01
pbi_cfremappend_cohort,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:08:03
pbi_entrprs_campgn_comnts,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:08:05
pbi_entrprs_campgn_non_adb,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:08:07
pbi_entrprs_campgn_results,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:08:08
pbi_entrprs_campgn_smry,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:08:10
pbi_entrprs_campgn_ts_sends,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:08:12
pbi_model_perf_auc,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:08:13
pbi_model_perf_dashbrd,mktg_ops_tbls,table,SUCCESS,2025-12-09 20:08:15
