object_name,schema_name,object_type,status,created_timestamp
chptr_portal_list_typ_ref,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:48
cnst_addr_ncoa_log,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:50
cnst_addr_ncoa_log_1,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:52
cnst_cdi_phss_preferred_dmail,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:55
cnst_cdi_phss_preferred_email,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:57
cnst_cdi_smry_non_fr_prfr,mktg_ops_vws,view,SUCCESS,2025-12-09 13:36:59
cnst_cdi_smry_phss_prfr,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:01
cnst_cdi_smry_vms_prfr,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:02
cnst_mstr_id_map,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:05
cnst_sturt_lst_affl,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:06
cnvo_group_acct,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:09
cnvo_group_members,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:10
dim_age_band,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:11
dim_bio_mstr_cust_appnd,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:13
dim_email_segmnt,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:15
dim_isp_labor,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:18
dim_motvtn_clt_matrix,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:19
dim_motvtn_gplg_effort,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:21
dim_motvtn_gplg_scr,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:22
dim_motvtn_gplg_segmnt,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:23
dim_recipient,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:25
dim_src_2_intrctn_brdg,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:26
dim_volunteer,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:31
dv_active_segmnt_snapsht,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:33
dv_digtl_engmnt_scorcrd,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:34
esri_blockgroup_demgrphc,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:35
esri_zip_cd_demgrphc,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:37
fact_atg_order_line,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:38
fact_dmail_interaction,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:40
fact_email_interaction,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:41
fact_interaction_aprm,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:43
fact_vol_applctn,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:44
fr_asset_gift_smry,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:47
geo_zip_code_to_chapter,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:48
gmpbzal_dim_fund,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:50
gmpbzal_dim_src,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:51
gmpbz_chpt_cnst_cnstcy,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:52
gmpbz_cnst_comnictn_email,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:54
gmpbz_dim_arcpg_amt_typ,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:55
gmpbz_dim_arcpg_chan_typ,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:57
gmpbz_dim_arcpg_comnictn_typ,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:58
gmpbz_dim_arcpg_src,mktg_ops_vws,view,SUCCESS,2025-12-09 13:37:59
gmpbz_dim_comnictn,mktg_ops_vws,view,SUCCESS,2025-12-09 13:38:01
gmpbz_dim_dollar_tier,mktg_ops_vws,view,SUCCESS,2025-12-09 13:38:03
gmpbz_dim_fund,mktg_ops_vws,view,SUCCESS,2025-12-09 13:38:05
gmpbz_dim_giftran_typ,mktg_ops_vws,view,SUCCESS,2025-12-09 13:38:07
