object_name,schema_name,object_type,status,validation_status,validation_error,created_timestamp
gms_arc_fr_smry,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""mktg_ops_tbls.gms_arc_fr_smry"" does not exist",2025-12-19 13:11:09
gms_arc_fr_smry_cbg,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,"relation ""mktg_ops_tbls.gms_arc_fr_smry_cbg"" does not exist",2025-12-19 13:11:10
gms_arc_fr_smry_sustnr,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:12
gms_arc_fr_txn,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:13
gms_arc_fr_txn_sustnr,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:14
gms_bzfc_adb_fact_donation,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:16
gms_bzfc_cnst_cdi_fr_prfr_em_prfl,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:17
gms_bzfc_dim_unf_fr_cnst,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:18
gms_bzfc_donation_rank,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:20
gms_bzfc_fact_ask,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,permission denied for relation dim_calendar,2025-12-19 13:11:21
gms_bzfc_fact_ask_cntct_intrctn,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:22
gms_bzfc_fact_cnst_comnictn,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:24
gms_bzfc_fact_email_intrctn_smry,mktg_ops_vws,view,SUCCESS,VALIDATION_FAILED,permission denied for relation gms_bzfc_fact_email_intrctn_smry,2025-12-19 13:11:25
gms_bzfc_fact_giftran,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:26
gms_bzf_cnst_cnstcy,mktg_ops_vws,view,SUCCESS,VALIDATED_OK,,2025-12-19 13:11:28
