object_name,schema_name,object_type,status,error_message,timestamp
bz_arc_fr_smry_atg_first_tm,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:37
bz_arc_fr_smry_rco_first_tm,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:38
bz_arc_fr_smry_rco_last_donat,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:39
bz_arc_fr_smry_rco_last_sustnr_donat,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:41
bz_area_code_2_time_zone,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:42
bz_campgn_yr_end_dow_projctn,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:43
bz_cnst_birth_best,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:45
bz_cnst_birth_pg,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:46
bz_cnst_cnstcy_affn,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:47
bz_cnst_fsa_acqstn,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:49
bz_cnst_gender_best,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:50
bz_cnst_mstr,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:51
bz_comnictn_src,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:53
bz_cur_mth_bio_donor_freq,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:54
bz_digital_analytics_txn,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:55
bz_dim_appt_typ,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:57
bz_dim_campgn,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:58
bz_dim_channel,mktg_ops_vws,view,DROPPED,,2025-12-19 13:49:59
bz_dim_cnst_demographic,mktg_ops_vws,view,DROPPED,,2025-12-19 13:50:01
bz_dim_delivery,mktg_ops_vws,view,DROPPED,,2025-12-19 13:50:02
bz_dim_dm_src_treatmnt_xref,mktg_ops_vws,view,DROPPED,,2025-12-19 13:50:04
bz_dim_edrtl_response_period,mktg_ops_vws,view,DROPPED,,2025-12-19 13:50:05
bz_dim_email_intrctn_typ,mktg_ops_vws,view,DROPPED,,2025-12-19 13:50:07
bz_dim_fund_cd,mktg_ops_vws,view,DROPPED,,2025-12-19 13:50:08
bz_dim_operator,mktg_ops_vws,view,DROPPED,,2025-12-19 13:50:10
bz_dim_phone_adtnl_reqst,mktg_ops_vws,view,DROPPED,,2025-12-19 13:50:11
bz_dim_phone_call_dspstn,mktg_ops_vws,view,DROPPED,,2025-12-19 13:50:13
bz_dim_phone_campgn,mktg_ops_vws,view,DROPPED,,2025-12-19 13:50:15
bz_dim_phone_campgn_src_cd_xref,mktg_ops_vws,view,DROPPED,,2025-12-19 13:50:16
bz_dim_phone_script,mktg_ops_vws,view,DROPPED,,2025-12-19 13:50:19
bz_dim_rpt_cell_cd,mktg_ops_vws,view,DROPPED,,2025-12-19 13:50:20
